name,player_hr_rate,barrel_rate,recent_hr_rate,recent_barrel_rate,hr_vs_R,hr_vs_L,barrel_vs_R,barrel_vs_L,recent_hr_rate_vs_R,recent_hr_rate_vs_L,recent_barrel_rate_vs_R,recent_barrel_rate_vs_L,stand,team
Carter Jensen,0.0723,0.0745,0.0455,0.0577,0.0984,0.0,0.0986,0.0,0.0625,0.0,0.0769,0.0,L,Kansas City Royals
Coby Mayo,0.0405,0.05,0.0789,0.075,0.0196,0.087,0.0364,0.08,0.0435,0.1333,0.0476,0.1053,R,Baltimore Orioles
Jo Adell,0.0256,0.0368,0.0333,0.0366,0.0,0.075,0.0185,0.0727,0.0,0.069,0.0227,0.0526,R,Los Angeles Angels
Gary Sánchez,0.0725,0.0986,0.0444,0.0833,0.0612,0.1,0.0833,0.1304,0.0556,0.0,0.0811,0.0909,R,Milwaukee Brewers
Jake Bauers,0.0581,0.0495,0.0476,0.06,0.0725,0.0,0.0649,0.0,0.0541,0.0,0.0732,0.0,L,Milwaukee Brewers
Dominic Canzone,0.0469,0.0704,0.0312,0.0588,0.0508,0.0,0.0725,0.0,0.0345,0.0,0.0606,0.0,L,Seattle Mariners
Luke Raley,0.0617,0.0988,0.0513,0.087,0.0633,0.0,0.1,0.0,0.0526,0.0,0.0889,0.0,L,Seattle Mariners
Drake Baldwin,0.056,0.0734,0.0328,0.0658,0.0617,0.0455,0.0948,0.0328,0.0278,0.04,0.0976,0.0286,L,Atlanta Braves
Francisco Alvarez,0.0476,0.0693,0.025,0.0196,0.0492,0.0435,0.0526,0.12,0.0,0.0833,0.0,0.0714,R,New York Mets
Hunter Goodman,0.0588,0.0504,0.0816,0.0847,0.0506,0.087,0.051,0.0476,0.0588,0.1333,0.093,0.0625,R,Colorado Rockies
Ramón Laureano,0.04,0.0685,0.0417,0.0694,0.0494,0.0,0.0684,0.069,0.0465,0.0,0.0635,0.1111,R,San Diego Padres
Mickey Moniak,0.1039,0.0603,0.102,0.0667,0.1094,0.0769,0.0612,0.0556,0.1053,0.0909,0.0667,0.0667,L,Colorado Rockies
Matt Wallner,0.0323,0.0577,0.0,0.0,0.0364,0.0263,0.0635,0.0488,0.0,0.0,0.0,0.0,L,Minnesota Twins
Josh Bell,0.0297,0.0543,0.0,0.05,0.0364,0.0217,0.0526,0.0566,0.0,0.0,0.0294,0.0769,S,Minnesota Twins
Dansby Swanson,0.055,0.0588,0.0877,0.0645,0.0423,0.0789,0.0556,0.0638,0.0606,0.125,0.0667,0.0625,R,Chicago Cubs
Moises Ballesteros,0.0492,0.0588,0.0714,0.0303,0.0526,0.0,0.0476,0.2,0.0769,0.0,0.0333,0.0,L,Chicago Cubs
Marcell Ozuna,0.0217,0.0642,0.0377,0.0769,0.0152,0.0385,0.04,0.1176,0.0233,0.1,0.0566,0.1667,R,Pittsburgh Pirates
Ryan O'Hearn,0.04,0.0426,0.0213,0.0455,0.0417,0.0357,0.0396,0.05,0.0263,0.0,0.06,0.0,L,Pittsburgh Pirates
Josh Jung,0.0326,0.0163,0.0545,0.0299,0.0411,0.0,0.0194,0.0,0.0612,0.0,0.0328,0.0,R,Texas Rangers
Kody Clemens,0.0328,0.0845,0.0303,0.0652,0.04,0.0,0.0862,0.0769,0.0357,0.0,0.0769,0.0,L,Minnesota Twins
Mark Vientos,0.0282,0.0217,0.027,0.0204,0.0208,0.0435,0.0175,0.0286,0.04,0.0,0.0323,0.0,R,New York Mets
Jorge Soler,0.0505,0.0673,0.025,0.0682,0.0571,0.0345,0.08,0.0345,0.0,0.0526,0.0741,0.0588,R,Los Angeles Angels
Michael Busch,0.0185,0.0325,0.0385,0.0317,0.0141,0.027,0.0361,0.025,0.0333,0.0455,0.027,0.0385,L,Chicago Cubs
Ozzie Albies,0.0435,0.0253,0.0364,0.0137,0.0541,0.0244,0.0412,0.0,0.0571,0.0,0.0227,0.0,S,Atlanta Braves
Miguel Vargas,0.045,0.0612,0.0741,0.075,0.0256,0.0909,0.0495,0.087,0.0278,0.1667,0.0556,0.1154,R,Chicago White Sox
